# Table 1 from 1407.6387 (HotQCD collaboration)
#T[MeV] I/T^4      p/T^4             e/T^4           s/T^3           CV/T^3           cs2
280 3.20(-21)(+21) 2.859(-141)(+140) 11.77(-44)(+43) 14.63(-57)(+57) 53.3(-1.8)(+1.7) 0.274(-6)(+5)
285 3.14(-21)(+21) 2.915(-141)(+140) 11.88(-43)(+43) 14.80(-57)(+57) 53.6(-1.8)(+1.7) 0.276(-5)(+5)
290 3.08(-21)(+21) 2.969(-140)(+140) 11.99(-43)(+43) 14.95(-57)(+56) 53.8(-1.7)(+1.7) 0.278(-5)(+5)
295 3.02(-20)(+21) 3.021(-140)(+140) 12.08(-43)(+43) 15.11(-56)(+56) 54.0(-1.7)(+1.7) 0.280(-5)(+5)
300 2.96(-20)(+21) 3.072(-140)(+139) 12.18(-43)(+43) 15.25(-56)(+56) 54.2(-1.7)(+1.7) 0.282(-5)(+6)
305 2.91(-20)(+21) 3.120(-139)(+139) 12.27(-43)(+42) 15.39(-56)(+55) 54.3(-1.7)(+1.7) 0.283(-5)(+6)
310 2.85(-20)(+20) 3.167(-139)(+139) 12.35(-42)(+42) 15.52(-56)(+55) 54.5(-1.7)(+1.7) 0.285(-6)(+6)
315 2.79(-19)(+20) 3.212(-139)(+138) 12.43(-42)(+42) 15.64(-56)(+55) 54.6(-1.7)(+1.7) 0.286(-6)(+6)
320 2.74(-19)(+20) 3.256(-139)(+138) 12.51(-42)(+41) 15.76(-55)(+55) 54.8(-1.7)(+1.7) 0.288(-6)(+6)
325 2.69(-19)(+20) 3.298(-138)(+138) 12.58(-42)(+41) 15.88(-55)(+54) 54.9(-1.7)(+1.7) 0.289(-6)(+7)
330 2.63(-19)(+19) 3.338(-138)(+137) 12.65(-41)(+41) 15.99(-54)(+54) 55.0(-1.7)(+1.7) 0.291(-6)(+7)
335 2.58(-19)(+19) 3.377(-138)(+137) 12.71(-41)(+41) 16.09(-54)(+54) 55.1(-1.7)(+1.8) 0.292(-6)(+7)
340 2.53(-19)(+19) 3.415(-137)(+137) 12.78(-41)(+40) 16.19(-54)(+53) 55.2(-1.7)(+1.8) 0.293(-7)(+7)
345 2.48(-20)(+19) 3.452(-137)(+136) 12.83(-41)(+40) 16.29(-54)(+53) 55.3(-1.7)(+1.8) 0.294(-7)(+7)
350 2.43(-20)(+19) 3.487(-136)(+136) 12.89(-40)(+40) 16.38(-53)(+53) 55.4(-1.8)(+1.9) 0.296(-7)(+7)
355 2.38(-20)(+19) 3.521(-136)(+135) 12.94(-40)(+40) 16.47(-53)(+53) 55.5(-1.8)(+1.9) 0.297(-7)(+7)
360 2.33(-20)(+20) 3.554(-136)(+135) 13.00(-40)(+40) 16.55(-53)(+53) 55.6(-1.8)(+1.9) 0.298(-7)(+7)
365 2.29(-21)(+20) 3.586(-135)(+134) 13.04(-40)(+40) 16.63(-53)(+53) 55.7(-1.9)(+1.9) 0.299(-7)(+7)
370 2.24(-21)(+20) 3.617(-135)(+134) 13.09(-40)(+40) 16.71(-53)(+53) 55.8(-1.9)(+2.0) 0.300(-7)(+7)
375 2.20(-21)(+20) 3.647(-134)(+134) 13.14(-40)(+40) 16.78(-53)(+53) 55.8(-1.9)(+2.0) 0.301(-7)(+7)
380 2.15(-22)(+21) 3.675(-134)(+133) 13.18(-40)(+40) 16.85(-53)(+53) 55.9(-2.0)(+2.0) 0.302(-7)(+7)
385 2.11(-22)(+21) 3.703(-134)(+133) 13.22(-40)(+41) 16.92(-53)(+53) 56.0(-2.0)(+2.0) 0.302(-7)(+7)
390 2.07(-22)(+21) 3.730(-133)(+132) 13.26(-40)(+41) 16.99(-53)(+53) 56.1(-2.0)(+2.1) 0.303(-7)(+7)
395 2.03(-22)(+22) 3.756(-133)(+132) 13.30(-40)(+41) 17.05(-53)(+53) 56.2(-2.0)(+2.1) 0.304(-7)(+7)
400 1.99(-22)(+22) 3.782(-132)(+132) 13.34(-40)(+41) 17.12(-53)(+53) 56.2(-2.1)(+2.1) 0.304(-7)(+7)
